"time","h2","href"
19.7,6.051810238368326,6
19.8,6.0427064432505055,6
19.9,6.033390718810873,6
20,6.02392418347172,6
20.1,6.014365214634983,6
20.2,6.00477006726182,6
20.3,5.9951930386727055,6
20.4,5.985686484230711,6
20.5,5.976300662430741,6
20.6,5.967082567232997,6
20.7,5.958075820697426,6
20.8,5.9493207302308475,6
20.9,5.940854518632407,6
21,5.932711917432077,6
21.1,5.9249247513274215,6
21.2,5.917521449238496,6
21.3,5.910526721996354,6
21.4,5.903961518733216,6
21.5,5.89784372908343,6
21.6,5.892189432014928,6
21.7,5.887011669940179,6
21.8,5.882320120359269,6
21.9,5.878120583046156,6
22,5.874416417135964,6
22.1,5.871208589155873,6
22.2,5.8684961890577565,6
22.3,5.8662763312139035,6
22.4,5.864543378083462,6
22.5,5.863288474631615,6
22.6,5.862500578578154,6
22.7,5.8621676609130775,6
22.8,5.862277074117409,6
22.9,5.862814304886669,6
23,5.863763275697848,6
23.1,5.865106005345934,6
23.2,5.8668231906849995,6
23.3,5.868894641500676,6
23.4,5.87130006842858,6
23.5,5.874018901144977,6
23.6,5.87702984805187,6
23.7,5.880310813378788,6
23.8,5.883838867420271,6
23.9,5.887590923454003,6
24,5.891544151143843,6
24.1,5.895675948571697,6
24.2,5.8999640564407025,6
24.3,5.904386245716145,6
24.4,5.908920197897969,6
24.5,5.913543844232212,6
24.6,5.918235537280645,6
24.7,5.922974512569268,6
24.8,5.927740933965285,6
24.9,5.932515503947445,6
25,5.937279339214677,6
25.1,5.942013848344588,6
25.2,5.946701261329956,6
25.3,5.951325301142785,6
25.4,5.955870973178557,6
25.5,5.96032431267537,6
25.6,5.9646715544678734,6
25.7,5.968899022957473,6
25.8,5.972994596299677,6
25.9,5.976947609335924,6
26,5.980748702572973,6
26.1,5.984389535668122,6
26.2,5.987862349114167,6
26.3,5.991160094203898,6
26.4,5.994276686113512,6
26.5,5.9972071492098475,6
26.6,5.999947888894968,6
26.7,6.002496416352989,6
26.8,6.004850962295638,6
26.9,6.007010364129415,6
27,6.008973900463602,6
27.1,6.010741945579642,6
27.2,6.0123161988932905,6
27.3,6.0136994174187866,6
27.4,6.014895080770627,6
27.5,6.01590644174113,6
27.6,6.016737074951689,6
27.7,6.01739153173087,6
27.8,6.017875317817716,6
27.9,6.0181950920187015,6
28,6.018357908502022,6
28.1,6.018370622616168,6
28.2,6.018240077044706,6
28.3,6.0179734376136045,6
28.4,6.0175784709191245,6
28.5,6.017063498985378,6
28.6,6.016436923219063,6
28.7,6.015707241827984,6
28.8,6.014883062612707,6
28.9,6.0139730493821775,6
29,6.012985886011746,6
29.1,6.01193018661963,6
29.2,6.010814559951046,6
29.3,6.009647534969445,6
29.4,6.008437510144654,6
29.5,6.007192851683197,6
29.6,6.00592137331042,6
29.7,6.004631083389718,6
29.8,6.003329439105432,6
29.9,6.002023815327896,6
30,6.000721227870678,6
30.1,5.999428276493411,6
30.2,5.99815141970611,6
30.3,5.996896546171249,6
30.4,5.995669404049296,6
30.5,5.994475164654025,6
30.6,5.993318768259104,6
30.7,5.992204715572161,6
30.8,5.991137089260576,6
30.9,5.990119605856102,6
31,5.98915557013799,6
31.1,5.988247865023051,6
31.2,5.987399045098856,6
31.3,5.986611215398362,6
31.4,5.985886138468283,6
31.5,5.985225201879807,6
31.6,5.984629422013702,6
31.7,5.984099484336351,6
31.8,5.983635714492775,6
31.9,5.983238134289803,6
32,5.982906431450481,6
32.1,5.982640006663679,6
32.2,5.982437966252844,6
32.3,5.982299151405647,6
32.4,5.982222162325948,6
32.5,5.982205347742067,6
32.6,5.9822468534869015,6
32.7,5.982344613050565,6
32.8,5.982496395257947,6
32.9,5.982699797461352,6
33,5.982952272207546,6
33.1,5.983251144060081,6
33.2,5.9835936289991345,6
33.3,5.983976851934739,6
33.4,5.984397862253885,6
33.5,5.984853638393616,6
33.6,5.985341123380506,6
33.7,5.985857230376661,6
33.8,5.98639886160311,6
33.9,5.986962919104508,6
34,5.987546319949235,6
34.1,5.988146027856986,6
34.2,5.988759055050961,6
34.3,5.989382450615756,6
34.4,5.990013261808126,6
34.5,5.990648735141273,6
34.6,5.991286175687589,6
34.7,5.991922975886649,6
34.8,5.992556468535704,6
34.9,5.993184330843555,6
35,5.9938042946263534,6
35.1,5.994414230982707,6
35.2,5.995011884968402,6
35.3,5.995595453580868,6
35.4,5.996163180301484,6
35.5,5.996713467841597,6
35.6,5.997244634722145,6
35.7,5.997755372634709,6
35.8,5.998244497958478,6
35.9,5.998710967851147,6
36,5.999153721726982,6
36.1,5.9995719500281535,6
36.2,5.999965042827917,6
36.3,6.000332504155932,6
36.4,6.000673864086955,6
36.5,6.0009887998355635,6
36.6,6.001277232132071,6
36.7,6.00153916542421,6
36.8,6.001774670197605,6
36.9,6.001983889262947,6
37,6.002167202458699,6
37.1,6.002325055379797,6
37.2,6.002457935791018,6
37.3,6.002566269916204,6
37.4,6.002650803053465,6
37.5,6.0027122663893735,6
37.6,6.002751463942661,6
37.7,6.002769287323066,6
37.8,6.002766660012786,6
37.9,6.002744571214353,6
38,6.002704060207362,6
38.1,6.002646199225015,6
38.2,6.002572112797478,6
38.3,6.00248295441394,6
38.4,6.002379905713982,6
38.5,6.002264081096725,6
38.6,6.002136684635388,6
38.7,6.001998909023995,6
38.8,6.001851935757858,6
38.9,6.0016969022544675,6
39,6.001534943490134,6
39.1,6.001367173403854,6
39.2,6.001194663585666,6
39.3,6.001018521787528,6
39.4,6.000839809125603,6
39.5,6.00065948294253,6
39.6,6.000478483476292,6
39.7,6.000297802351087,6
39.8,6.000118459481547,6
39.9,5.999941265671055,6
40,5.999767062499406,6
40.1,5.999596631775795,6
40.2,5.9994306703344655,6
40.3,5.999269878842617,6
40.4,5.999114879953532,6
40.5,5.998966233809159,6
40.6,5.998824421298033,6
40.7,5.998689875207577,6
40.8,5.998562950037086,6
40.9,5.998443933612089,6
41,5.998333287370292,6
41.1,5.998231136184149,6
41.2,5.998137640681519,6
41.3,5.998052902614909,6
41.4,5.997977116655823,6
41.5,5.997910292253626,6
41.6,5.997852421386339,6
41.7,5.997803463984732,6
41.8,5.997763399907892,6
41.9,5.997732140207901,6
42,5.997709554269938,6
42.1,5.997695495823703,6
42.2,5.997689739274035,6
42.3,5.997692036637175,6
42.4,5.997702149692031,6
42.5,5.997719791104794,6
42.6,5.997744618053336,6
42.7,5.997776240104979,6
42.8,5.997814277956209,6
42.9,5.997858302465882,6
43,5.997907898315654,6
43.1,5.9979627163164455,6
43.2,5.998022253570491,6
43.3,5.998086047751083,6
43.4,5.998153662328831,6
43.5,5.99822484767346,6
43.6,5.998299135243136,6
43.7,5.9983761637097865,6
43.8,5.9984555891951565,6
43.9,5.998536820694221,6
44,5.99861959170515,6
44.1,5.998703543745195,6
44.2,5.998788333994511,6
44.3,5.998873472552103,6
44.4,5.99895862942153,6
44.5,5.9990434462614335,6
44.6,5.999127558920832,6
44.7,5.999210692642954,6
44.8,5.999292515867508,6
44.9,5.999372692976558,6
45,5.999450912925747,6
45.1,5.9995270256653965,6
45.2,5.999600849084999,6
45.3,5.99967211587994,6
45.4,5.999740634830928,6
45.5,5.999806246589722,6
45.6,5.9998688161162,6
45.7,5.999928208174131,6
45.8,5.999984316172705,6
45.9,6.000037050397994,6
46,6.0000863360007894,6
46.1,6.000132126572409,6
46.2,6.000174391640993,6
46.3,6.000213111714355,6
46.4,6.000248247832009,6
46.5,6.000279833520984,6
46.6,6.000307899567759,6
46.7,6.000332490915187,6
46.8,6.000353601937338,6
46.9,6.000371313885243,6
47,6.000385692234075,6
47.1,6.0003968117088915,6
47.2,6.000404788382525,6
47.3,6.000409717653958,6
47.4,6.000411712457227,6
47.5,6.000410897478958,6
47.6,6.000407416780968,6
47.7,6.000401418502251,6
47.8,6.000393059665052,6
47.9,6.00038250892278,6
48,6.000369912459263,6
48.1,6.000355428748772,6
48.2,6.00033924065198,6
48.3,6.00032152288767,6
48.4,6.000302424528147,6
48.5,6.000282078542172,6
48.6,6.000260650764264,6
48.7,6.000238282610775,6
48.8,6.000215115942288,6
48.9,6.000191300197719,6
49,6.000166947774112,6
49.1,6.000142171075805,6
49.2,6.000117090568457,6
49.3,6.000091907823548,6
49.4,6.000066704954111,6
49.5,6.000041603438141,6
49.6,6.000016726104251,6
49.7,5.999992250828819,6
49.8,5.999968281952049,6
49.9,5.999944949368394,6
50,5.99992238279736,6
50,5.99992238279736,6
