"time","h1","h2","h1_ss","h2_ss"
3.72,12.72431904901212,5.744701051712924,8,4
3.78,12.706851352098017,5.75913382732741,8,4
3.84,12.689314694851364,5.773029025089553,8,4
3.9,12.671748570993886,5.786397988263267,8,4
3.96,12.65419230567255,5.799253002092086,8,4
4.02,12.636680853116703,5.811605920900619,8,4
4.08,12.619244147088173,5.823467928327964,8,4
4.14,12.60191418517796,5.834851675357874,8,4
4.2,12.584721090954588,5.845769998923714,8,4
4.26,12.567687744926145,5.856234155841288,8,4
4.32,12.55083792572029,5.866256414376141,8,4
4.38,12.534193785376157,5.875849074418727,8,4
4.44,12.517774615907276,5.885024199322496,8,4
4.5,12.501598020226051,5.893793883841428,8,4
4.56,12.485680671773256,5.902170160790089,8,4
4.62,12.470037142089485,5.910165056466595,8,4
4.68,12.454680483841223,5.917790555631808,8,4
4.74,12.439621858365111,5.925058334191541,8,4
4.8,12.42487079934761,5.931980039404595,8,4
4.86,12.410435273997056,5.938567354889308,8,4
4.92,12.396322953821493,5.944831530521307,8,4
4.98,12.382539942733988,5.950783708106785,8,4
5.04,12.369089953581405,5.95643508507453,8,4
5.1,12.355977417544127,5.961796349917422,8,4
5.16,12.343205823618066,5.966877974388307,8,4
5.22,12.330775928869938,5.97169051441237,8,4
5.28,12.318689188314922,5.976244099428376,8,4
5.34,12.306946616723483,5.980548597319115,8,4
5.4,12.295546848742157,5.9846138354135165,8,4
5.46,12.284488801090777,5.988449340444916,8,4
5.52,12.273771083821122,5.99206440381076,8,4
5.58,12.263390497221382,5.995468154383824,8,4
5.64,12.253343934474263,5.99866946180131,8,4
5.7,12.24362821370849,6.001676942755762,8,4
5.76,12.234238474683396,6.004499052869108,8,4
5.82,12.225170023565903,6.007143971256711,8,4
5.88,12.216418659160846,6.0096195676690485,8,4
5.94,12.207978737419976,6.011933553278911,8,4
6,12.199844697573075,6.0140933706396185,8,4
6.06,12.192010627480723,6.016106247805777,8,4
6.12,12.18447058084381,6.017979125120152,8,4
6.18,12.177218364279364,6.0197187276124176,8,4
6.24,12.170247410902062,6.021331629368932,8,4
6.3,12.163551308947714,6.022824080153449,8,4
6.36,12.157123447557996,6.0242021426920545,8,4
6.42,12.150956920402205,6.02547172259021,8,4
6.48,12.14504499510984,6.026638454073169,8,4
6.54,12.13938082203838,6.027707784144386,8,4
6.6,12.133957433061871,6.0286849397948385,8,4
6.66,12.128767959099676,6.029574964199822,8,4
6.72,12.123805518749695,6.030382696092247,8,4
6.78,12.119063224212555,6.031112751221066,8,4
6.84,12.114534291124443,6.031769573997012,8,4
6.9,12.110211997715277,6.032357408564203,8,4
6.96,12.10608958155939,6.032880350889514,8,4
7.02,12.10216049658467,6.033342280267093,8,4
7.08,12.098418273553989,6.03374691054528,8,4
7.14,12.094856359586437,6.0340978465713295,8,4
7.2,12.091468484811756,6.034398484402837,8,4
7.26,12.088248445459982,6.034652084686931,8,4
7.32,12.085190051042556,6.0348617565133456,8,4
7.38,12.082287309039977,6.035030473579889,8,4
7.44,12.079534332959131,6.0351610738903645,8,4
7.5,12.07692536078508,6.035256221725811,8,4
7.56,12.07445476591339,6.035318475200973,8,4
7.62,12.072117063665214,6.035350261865672,8,4
7.68,12.069906905452598,6.035353874160494,8,4
7.74,12.067819101067878,6.035331484698133,8,4
7.8,12.065848619989787,6.035285147392708,8,4
7.86,12.063990460703938,6.035216835917218,8,4
7.92,12.062239803529627,6.035128409015351,8,4
7.98,12.060591996527167,6.035021619662857,8,4
8.04,12.05904250251344,6.0348981346960855,8,4
8.1,12.057586919461379,6.034759534690294,8,4
8.16,12.056220980580363,6.03460731930656,8,4
8.22,12.054940731464177,6.034442787348014,8,4
8.28,12.0537422860123,6.034267214870502,8,4
8.34,12.05262182725324,6.034081860003797,8,4
8.4,12.05157575631113,6.033887862948598,8,4
8.46,12.050600636099473,6.03368629122187,8,4
8.52,12.049693003307214,6.033478160895429,8,4
8.58,12.048848934729897,6.033264480462879,8,4
8.64,12.048065612646017,6.033046110565708,8,4
8.7,12.047339945040832,6.032823895010318,8,4
8.76,12.04666895030674,6.032598629251382,8,4
8.82,12.046049754403342,6.032371064573234,8,4
8.88,12.045479759367568,6.032141730763457,8,4
8.94,12.044956312053337,6.0319112881836885,8,4
9,12.0444768791435,6.031680343555953,8,4
9.06,12.044039060034669,6.031449437487143,8,4
9.12,12.043640559925654,6.031219074149033,8,4
9.18,12.043279105019408,6.030989684483044,8,4
9.24,12.042952449144819,6.030761633524385,8,4
9.3,12.042658623757589,6.030535345181488,8,4
9.36,12.042395663661654,6.03031117399703,8,4
9.42,12.042161686665462,6.030089447718692,8,4
9.48,12.041954890677932,6.029870470026119,8,4
9.54,12.041773699243803,6.029654379155466,8,4
9.6,12.041616430854855,6.0294414688342,8,4
9.66,12.041481546688974,6.029231947688013,8,4
9.72,12.041367585850296,6.029026002016375,8,4
9.78,12.041273161470272,6.028823799485307,8,4
9.84,12.041196921140308,6.028625451658314,8,4
9.9,12.041137585779397,6.028431059862298,8,4
9.96,12.041093976740997,6.028240748558012,8,4
10.02,12.041064956739717,6.028054607146484,8,4
10.08,12.041049446893103,6.0278727126455856,8,4
10.14,12.041046424759761,6.027695122582892,8,4
10.2,12.04105492581084,6.027521820191354,8,4
10.26,12.04107402963875,6.027352871640482,8,4
10.32,12.04110286666792,6.027188298446206,8,4
10.38,12.041140613026458,6.0270281143532385,8,4
10.44,12.041186487967286,6.026872326799713,8,4
10.5,12.041239774228051,6.026720884862588,8,4
10.56,12.0412997771169,6.02657377016368,8,4
10.62,12.041365832984,6.02643097255226,8,4
10.68,12.041437318784975,6.026292463240079,8,4
10.74,12.041513643614547,6.026158210002282,8,4
10.8,12.041594272394002,6.0260281601146914,8,4
10.86,12.041678752196757,6.025902221453423,8,4
10.92,12.041766560408293,6.025780367704114,8,4
10.98,12.041857242676553,6.025662541704028,8,4
11.04,12.04195037045053,6.0255486844584425,8,4
11.1,12.04204553898739,6.025438735966809,8,4
11.16,12.04214244630317,6.025332586718498,8,4
11.22,12.042240726399674,6.025230178942902,8,4
11.28,12.042340052532126,6.025131443285412,8,4
11.34,12.042440126137645,6.025036305166475,8,4
11.4,12.042540667779836,6.024944689911951,8,4
11.46,12.042641440586628,6.024856508148971,8,4
11.52,12.042742235157855,6.024771664578744,8,4
11.58,12.042842816488948,6.024690089794805,8,4
11.64,12.042942985300968,6.024611702689068,8,4
11.7,12.043042556913706,6.024536422885854,8,4
11.76,12.043141361311285,6.024464170317398,8,4
11.82,12.04323928496337,6.0243948394458435,8,4
11.88,12.043336168561188,6.024328360972129,8,4
11.94,12.043431885681194,6.024264653687651,8,4
12,12.043526320246317,6.024203637774884,8,4
12.06,12.043619365373537,6.024145235122478,8,4
12.12,12.043710951368022,6.024089356371955,8,4
12.18,12.043801005478088,6.024035919028929,8,4
12.24,12.043889443223495,6.0239848512012015,8,4
12.3,12.043976199543977,6.023936077209475,8,4
12.36,12.04406121571629,6.023889523333594,8,4
12.42,12.044144446604921,6.023845114904312,8,4
12.48,12.044225888445865,6.023802765557718,8,4
12.54,12.044305487090073,6.02376241211761,8,4
12.6,12.04438321539733,6.023723984913962,8,4
12.66,12.044459050729847,6.02368741623287,8,4
12.72,12.04453297423405,6.023652640450035,8,4
12.78,12.044605001024722,6.023619583112407,8,4
12.84,12.044675123250542,6.023588181176697,8,4
12.9,12.044743334523945,6.023558374148965,8,4
12.96,12.04480963752401,6.0235301012421765,8,4
13.02,12.044874037468077,6.023503303587623,8,4
13.08,12.044936550161129,6.023477921501631,8,4
13.14,12.044997204417605,6.023453893588902,8,4
13.2,12.045056006872628,6.023431168120353,8,4
13.26,12.045112976296302,6.023409691728065,8,4
13.32,12.045168132859429,6.023389412802226,8,4
13.38,12.045221497708072,6.023370281523656,8,4
13.44,12.045273126731008,6.023352242287213,8,4
13.5,12.0453230370603,6.023335249995938,8,4
13.56,12.0453712589085,6.023319258463269,8,4
13.62,12.045417825190793,6.023304222660372,8,4
13.68,12.045462769733776,6.023290099052612,8,4
13.74,12.045506126999749,6.023276845598779,8,4
13.8,12.045547931811033,6.023264421750314,8,4
13.86,12.045588219074274,6.023252788450528,8,4
13.92,12.045627023504752,6.023241908133827,8,4
13.98,12.045664379350686,6.023231744724924,8,4
14.04,12.04570032141517,6.02322226366284,8,4
14.1,12.045734896347817,6.023213432120881,8,4
14.16,12.045768127787603,6.023205218345868,8,4
14.22,12.045800047281467,6.0231975922527115,8,4
14.28,12.04583068478654,6.023190525247623,8,4
14.34,12.045860068409269,6.023183990227622,8,4
14.4,12.045888224144507,6.023177961580044,8,4
14.46,12.045915175614649,6.023172415182034,8,4
14.52,12.045940943808716,6.023167328400067,8,4
14.58,12.045965546821485,6.023162680089436,8,4
14.64,12.04598899959259,6.023158450593767,8,4
14.7,12.046011391081004,6.0231546072005875,8,4
14.76,12.046032955912352,6.023151090635017,8,4
14.82,12.046053545269853,6.023147914387664,8,4
14.88,12.046073189626341,6.023145058972661,8,4
14.94,12.046091918400938,6.023142505750303,8,4
15,12.046109759862786,6.02314023689562,8,4
15.06,12.04612674103478,6.023138235366976,8,4
15.12,12.046142887597325,6.02313648487464,8,4
15.18,12.04615822379207,6.023134969849372,8,4
15.24,12.046172772325644,6.02313367541101,8,4
15.3,12.046186554273413,6.023132587337048,8,4
15.36,12.046199639841685,6.023131692036626,8,4
15.42,12.04621210169359,6.02313097651416,8,4
15.48,12.046223906816055,6.023130428326455,8,4
15.54,12.046235079464164,6.023130035568599,8,4
15.6,12.046245642850216,6.023129786836374,8,4
15.66,12.04625561909393,6.02312967119483,8,4
15.72,12.046265029172691,6.023129678146885,8,4
15.78,12.04627389287176,6.023129797601908,8,4
15.84,12.046282228734507,6.023130019844306,8,4
15.9,12.046290054012625,6.023130335502109,8,4
15.96,12.046297384616363,6.02313073551557,8,4
16.02,12.046304295574162,6.023131219268345,8,4
