"time","h1","h2"
15.8,7.972239414225354,3.977989367841708
15.9,7.972386462473944,3.9783882791832266
16,7.972539524285149,3.9787713845563912
16.1,7.972698081444222,3.9791395813094
16.2,7.9728616499144405,3.979493710855361
16.3,7.973029756179212,3.9798345973821845
16.4,7.973201962595839,3.980163006323549
16.5,7.973377892102951,3.9804796036501275
16.6,7.973557156289349,3.9807850740626685
16.7,7.973739400922199,3.9810800461169613
16.8,7.97392430225413,3.9813650982946256
16.9,7.974111566568695,3.9816407597181005
17,7.974300901292509,3.981907557490215
17.1,7.974492037662671,3.9821659794940776
17.2,7.974684741104871,3.982416457611789
17.3,7.974878778354999,3.9826594211770168
17.4,7.975073932053037,3.9828952732450045
17.5,7.975270002929957,3.983124387069081
17.6,7.975466814442467,3.9833470986295647
17.7,7.975664188662088,3.9835637456339112
17.8,7.975861963044044,3.9837746404117627
17.9,7.976059998345898,3.983980057061384
18,7.976258160454514,3.9841802609211694
18.1,7.976456320909249,3.984375507727213
18.2,7.976654363063058,3.9845660336296076
18.3,7.976852178445752,3.984752061094892
18.4,7.977049665882218,3.984933800341649
18.5,7.977246730610625,3.9851114507760954
18.6,7.977443285784742,3.985285198377097
18.7,7.9776392485066605,3.985455222373988
18.8,7.977834537965718,3.9856216983459873
18.9,7.978029077605255,3.9857847944783176
19,7.978222793124543,3.9859446748943648
19.1,7.978415611616962,3.986101501057348
19.2,7.97860746070818,3.9862554331719924
19.3,7.978798337539628,3.9864065182424318
19.4,7.97898825935032,3.986554770270321
19.5,7.979177120128538,3.986700402881178
19.6,7.97936487936369,3.9868435230241808
19.7,7.979551498847732,3.9869842335328736
19.8,7.979736942229802,3.9871226338510217
19.9,7.979921174570859,3.987258820758461
20,7.980104180593271,3.9873928586910674
20.1,7.980285977066867,3.9875247595973096
20.2,7.980466510200418,3.987654649824494
20.3,7.9806457596640366,3.987782600935955
20.4,7.980823706286694,3.9879086822500383
20.5,7.981000331735141,3.988032961363787
20.6,7.981175618192845,3.988155504676638
20.7,7.981349557254704,3.988276362976471
20.8,7.981522193944851,3.9883955000954208
20.9,7.981693483702301,3.988513024721872
21,7.981863420051246,3.9886289834658846
21.1,7.982031997220206,3.988743421452215
21.2,7.982199209929971,3.988856382667326
21.3,7.9823650531815415,3.9889679103064
21.4,7.982529522294462,3.9890780467148974
21.5,7.9826926520080335,3.989186770079546
21.6,7.982854420298246,3.989294150171525
21.7,7.983014827700882,3.9894002199101912
21.8,7.983173874921014,3.989505011621405
21.9,7.983331562679184,3.989608557290242
22,7.9834878915575676,3.9897108888137005
22.1,7.983642861846164,3.9898120382534077
22.2,7.983796502886867,3.9899119902040345
