"time","tank1.h","tank2.Q1","tank2.h"
17.3,4.375176248756308,2.0916921974220557,30.224823751243704
17.4,4.3661152974525,2.0895251368319308,30.433884702547505
17.5,4.357268603977072,2.0874071485881887,30.642731396022942
17.6,4.348631354178971,2.085337227927169,30.851368645821044
17.7,4.340198848726945,2.083314390275012,31.059801151273064
17.8,4.331966176628073,2.081337593142466,31.268033823371944
17.9,4.323928849118407,2.0794058884975795,31.476071150881605
18,4.316082489841023,2.077518348857844,31.683917510158988
18.1,4.308422766747378,2.075674051181297,31.891577233252633
18.2,4.300945453451832,2.0738720918735156,32.09905454654818
18.3,4.293646198124599,2.0721115312947322,32.30635380187541
18.4,4.286520858768491,2.070391474762319,32.51347914123152
18.5,4.27956554819518,2.0687110837898994,32.72043445180484
18.6,4.272776376453902,2.0670695141803774,32.92722362354611
18.7,4.266149550527039,2.0654659402970164,33.13385044947297
18.8,4.259681257672182,2.0638995270294003,33.34031874232783
18.9,4.253367710250298,2.0623694407768696,33.54663228974971
19,4.247205414057116,2.0608749147042174,33.7527945859429
19.1,4.241190858914656,2.059415174003206,33.958809141085354
19.2,4.235320612126468,2.057989458701494,34.16467938787355
19.3,4.229591316956894,2.0565970234727304,34.37040868304313
19.4,4.2239996911103335,2.055237137439457,34.57600030888968
19.5,4.218542525210516,2.053909083969034,34.7814574747895
19.6,4.2132166812797704,2.0526121604628016,34.98678331872025
19.7,4.208019091218283,2.05134567813869,35.19198090878173
19.8,4.202946743896229,2.0501089590302826,35.39705325610378
19.9,4.197996593578532,2.0489013137724648,35.60200340642148
20,4.193165829965564,2.0477221076028758,35.806834170034456
20.1,4.188451632245455,2.0465707005245273,36.011548367754564
20.2,4.183851239521073,2.045446464594239,36.21614876047894
20.3,4.179361949147037,2.0443487836342986,36.42063805085297
20.4,4.174981115066735,2.0432770529389144,36.625018884933276
20.5,4.170706146149334,2.0422306789756477,36.82929385385067
20.6,4.1665345045268,2.0412090790820034,37.03346549547322
20.7,4.162463703930904,2.0402116811573507,37.237536296069116
20.8,4.158491655160126,2.0392380084629957,37.44150834483989
20.9,4.154615893117684,2.038287490301033,37.645384106882325
21,4.150834055419035,2.037359579313145,37.84916594458098
21.1,4.147143898755675,2.0364537556143216,38.05285610124434
21.2,4.143543229330545,2.035569509825333,38.256456770669466
21.3,4.140029901513467,2.0347063428203755,38.459970098486544
21.4,4.136601816496576,2.0338637654711724,38.66339818350343
21.5,4.133256920949757,2.0330412983876536,38.86674307905026
21.6,4.129993205676082,2.032238471655352,39.07000679432393
21.7,4.12680883246339,2.031454856122427,39.27319116753662
21.8,4.1237019692337915,2.0306900229315628,39.47629803076622
21.9,4.1206706536438285,2.0299435099637204,39.679329346356184
22,4.117713069599428,2.0292148899511426,39.88228693040059
22.1,4.114827441782704,2.0285037445818785,40.085172558217316
22.2,4.112012034470017,2.027809664260928,40.28798796553
22.3,4.1092651503500655,2.0271322478689116,40.49073484964995
22.4,4.106585129341934,2.0264711025183493,40.69341487065808
22.5,4.10397036708912,2.0258258481639335,40.8960296329109
22.6,4.101419447724564,2.0251961504319933,41.098580552275465
22.7,4.098930721945496,2.024581616518706,41.30106927805452
22.8,4.096502689017649,2.0239818894984336,41.50349731098237
22.9,4.094133882134837,2.0233966200759648,41.70586611786518
23,4.09182286736614,2.0228254663628644,41.90817713263388
23.1,4.089568242603071,2.022268093652044,42.110431757396945
23.2,4.087368636506767,2.0217241741906258,42.312631363493246
23.3,4.085222707455157,2.0211933869511736,42.51477729254487
23.4,4.083129270531279,2.0206754490841123,42.71687072946874
23.5,4.081087031915051,2.020170050247021,42.918912968084975
23.6,4.079094718456809,2.019676884666656,43.12090528154322
23.7,4.077151119877046,2.0191956616130704,43.322848880122976
23.8,4.0752550530350105,2.018726096585421,43.52474494696501
23.9,4.073405361009838,2.0182679111083934,43.726594638990186
24,4.071600912181667,2.0178208325274243,43.928399087818356
24.1,4.0698405993127675,2.01738459380277,44.13015940068725
24.2,4.068123386826186,2.016958945250544,44.33187661317383
24.3,4.0664482953861025,2.016543650751479,44.53355170461393
24.4,4.064814237289983,2.016138446954966,44.73518576271004
24.5,4.063220212474249,2.015743091883053,44.936779787525786
24.6,4.0616652429555336,2.015357348699117,45.13833475704449
24.7,4.060148372030576,2.014980985525813,45.33985162796945
24.8,4.058668663476067,2.0146137752621636,45.54133133652396
24.9,4.057225200748541,2.0142554953998615,45.74277479925148
25,4.055817086184242,2.0139059278387963,45.94418291381578
25.1,4.054443611792531,2.013564901311237,46.145556388207496
25.2,4.053103831199945,2.013232185119229,46.34689616880008
25.3,4.051796917978369,2.0129075781014807,46.54820308202166
25.4,4.050522065266533,2.0125908837283677,46.74947793473349
25.5,4.049278483823018,2.0122819096297166,46.950721516177005
25.6,4.048065401364961,2.0119804674412127,47.15193459863507
25.7,4.0468820619067385,2.0116863726502543,47.353117938093284
25.8,4.045727725098669,2.011399444441275,47.55427227490135
25.9,4.044601764048039,2.0111195300250153,47.755398235951986
26,4.043503497435162,2.0108464629193255,47.95649650256486
26.1,4.042432199492163,2.010580065426931,48.15756780050786
26.2,4.041387208320484,2.0103201755741504,48.35861279167954
26.3,4.040367877067361,2.0100666349818757,48.55963212293267
26.4,4.039373573404782,2.0098192887433393,48.760626426595245
26.5,4.038403679008439,2.009577985301501,48.96159632099158
26.6,4.037457589036687,2.0093425763260697,49.16254241096335
26.7,4.036534734782182,2.009112922357074,49.363465265217854
26.8,4.035634619629191,2.008888901763657,49.564365380370845
26.9,4.0347566312252585,2.008670364003327,49.76524336877477
27,4.033900227755148,2.0084571759823877,49.96609977224488
27.1,4.03306488005057,2.008249207655905,50.166935119949464
27.2,4.032250071162319,2.008046331926213,50.3677499288377
27.3,4.031455295932411,2.0078484245411583,50.56854470406763
27.4,4.030680060566207,2.007655363992089,50.76931993943383
27.5,4.029923882204556,2.0074670314116134,50.97007611779548
27.6,4.0291863398584615,2.007283323265169,51.170813660141576
27.7,4.028466956029712,2.0071041218705403,51.371533043970324
27.8,4.027765278857352,2.0069293158597667,51.572234721142685
27.9,4.027080873075226,2.006758797931437,51.772919126924805
28,4.02641331317821,2.00659246315195,51.973586686821825
28.1,4.025762183043524,2.006430208864371,52.17423781695651
28.2,4.025127075552072,2.00627193459712,52.37487292444796
28.3,4.024507592209754,2.0061175419724924,52.575492407790286
28.4,4.02390337231061,2.005966941978509,52.77609662768942
28.5,4.023314058626871,2.0058200464216305,52.97668594137316
28.6,4.022739259575288,2.0056767584970636,53.17726074042474
28.7,4.022178616050708,2.0055369894496358,53.37782138394933
28.8,4.021631776734994,2.0054006524221024,53.57836822326505
28.9,4.021098397773219,2.005267662376576,53.778901602226824
29,4.020578142449843,2.005137936015835,53.97942185755019
29.1,4.020070680864897,2.0050113917045205,54.17992931913514
29.2,4.019575698027034,2.004887951489318,54.38042430197301
29.3,4.019092959405001,2.00476755745024,54.580907040595044
29.4,4.018622110880131,2.0046501218118165,54.78137788911991
29.5,4.0181628580451125,2.0045355716587103,54.98183714195493
29.6,4.017714913120127,2.0044238356994577,55.182285086879915
29.7,4.0172779947049,2.0043148442060943,55.382722005295136
29.8,4.016851827530753,2.0042085289536997,55.583148172469286
29.9,4.016436142212657,2.004104823159871,55.783563857787385
30,4.016030675001284,2.0040036614241212,55.98396932499876
30.1,4.01563521911496,2.0039049925370613,56.18436478088508
30.2,4.015249519480161,2.003808753219768,56.384750480519884
30.3,4.01487332172204,2.0037148803465126,56.585126678278
30.4,4.014506391895522,2.003623315869408,56.78549360810452
30.5,4.014148501617285,2.0035340031098263,56.98585149838276
30.6,4.013799427877638,2.0034468867124073,57.18620057212241
